0:0:0:0:0:0:0:1 - - [25/May/2017:01:25:21 +0800] "GET /ecp-web/static/bootstrap/3.3.5/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:01:25:21 +0800] "GET /ecp-web/static/jquery/1.11.3/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:01:25:21 +0800] "GET /ecp-web/static/bootstrap/3.3.5/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:01:25:21 +0800] "GET /ecp-web/static/bootstrap/3.3.5/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:01:25:21 +0800] "GET /ecp-web/static/images/iphone_index.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:01:25:21 +0800] "GET /ecp-web/front/product/detail/1 HTTP/1.1" 200 9196
0:0:0:0:0:0:0:1 - - [25/May/2017:01:25:21 +0800] "GET /ecp-web/static/jquery/1.11.3/jquery-1.11.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:01:25:21 +0800] "GET /ecp-web/static/bootstrap/3.3.5/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:01:25:21 +0800] "GET /ecp-web/static/bootstrap/3.3.5/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:01:25:21 +0800] "GET /ecp-web/static/bootstrap/3.3.5/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:01:25:22 +0800] "GET /ecp-web/static/images/iphone_index.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:01:26:27 +0800] "GET /ecp-web/front/product/detail/1 HTTP/1.1" 200 9204
0:0:0:0:0:0:0:1 - - [25/May/2017:01:26:27 +0800] "GET /ecp-web/static/bootstrap/3.3.5/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:01:26:27 +0800] "GET /ecp-web/static/bootstrap/3.3.5/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2017:01:26:27 +0800] "GET /ecp-web/static/jquery/1.11.3/jquery-1.11.3.min.js HTTP/1.1" 304 -
